Ball Type,File Number,Trial #,Start Time (s),End Time (s),Difference (s),Uncertainty (s)
Ping Pong,56 06,1,1.867,8.6,6.733,0.132
,57 32,2,2.933,9.933,7,0.132
,57 58,3,2.733,9.566,6.833,0.132
,58 12,4,2.033,8.933,6.9,0.132
,59 24,5,1.733,8.666,6.933,0.132
,00 30,6,1.2,8.132,6.932,0.132
,01 37,7,3.967,11.033,7.066,0.132
,02 33,8,1.866,8.532,6.666,0.132
,03 07,9,1.4,8.399,6.999,0.132
,03 20,10,1.6,8.132,6.532,0.132
,03 33,11,4.233,10.733,6.5,0.132
,04 09,12,1.767,8.6,6.833,0.132
,04 39,13,2.667,9.733,7.066,0.132
Tennis Ball,05 57,1,1.466,3.833,2.367,0.099
,06 04,2,2.067,4.6,2.533,0.099
,06 12,3,1.567,3.933,2.366,0.099
,06 20,4,2.533,5,2.467,0.099
,06 29,5,2.534,4.966,2.432,0.099
,06 37,6,1.433,3.933,2.5,0.099
,06 46,7,1.267,3.8,2.533,0.099
,06 53,8,1.1,3.567,2.467,0.099
,07 00,9,0.5,3,2.5,0.099
,07 07,10,0.767,3.3,2.533,0.099
,07 17,11,1,3.633,2.633,0.099
,07 23,12,1.033,3.7,2.667,0.099